SId,CId,Marks
24247,48,44
65000,88,81
3936,6,49
2345,100,98
89832,91,52
18842,14,98
77443,6,67
40993,67,72
74771,7,73
81907,3,96
73528,40,69
47304,95,43
45807,69,74
75647,84,77
61058,31,89
65122,21,45
5224,77,66
72536,65,61
68899,30,59
65620,14,100
23552,68,84
51573,34,89
12161,91,40
46817,8,93
69684,7,37
9024,90,59
3799,40,86
83974,37,49
79720,29,61
71638,3,81
37898,89,74
38477,44,51
44193,71,94
8698,96,61
54552,62,85
35838,52,69
82089,80,67
46504,94,44
68307,77,51
84152,29,71
69733,59,57
89476,45,87
33082,13,73
59408,37,37
71761,55,87
59623,76,75
86657,86,82
59578,35,57
62746,51,54
73189,84,43
71706,44,54
85134,20,89
84778,72,53
9413,39,53
58900,11,62
37130,67,89
65602,47,41
12797,65,69
38615,52,77
9210,96,60
67245,61,56
54727,31,40
49108,100,91
40896,69,37
66116,46,99
87469,52,66
2385,33,91
55498,41,66
28163,69,52
55307,19,56
25689,84,89
40640,55,51
80891,44,96
27386,14,75
1250,41,52
57523,31,67
63754,1,41
52682,20,92
10772,82,92
42963,9,38
68865,89,87
16140,54,40
67394,70,44
70003,20,37
46413,88,47
27608,21,80
22253,87,84
78553,88,63
14956,72,92
62468,14,77
6328,94,94
50676,25,90
19033,63,64
69858,94,82
64338,31,80
63505,20,97
54819,98,63
88258,94,71
8807,16,51
30499,10,97
2579,85,37
8363,79,37
48693,18,45
18311,55,79
2969,5,43
23280,13,77
39553,82,47
42591,73,51
31153,60,90
9107,99,42
20412,96,76
265,19,100
10680,47,87
8921,76,55
50734,14,70
33393,92,100
20151,15,78
23011,47,52
58895,34,42
77821,60,63
66542,82,46
74739,21,76
27556,72,87
73005,95,76
56889,32,43
62957,46,58
72526,65,91
44704,87,55
43373,57,99
17517,62,52
88263,34,49
63400,32,76
607,60,94
56051,90,77
35168,58,63
84309,40,62
57689,89,68
85709,75,51
25837,48,91
54220,60,36
1462,55,82
32268,53,99
78238,82,35
79196,64,77
46200,94,37
3229,44,52
77757,66,92
72364,51,84
80611,7,53
1500,54,47
1991,31,84
57754,89,59
31611,64,81
5135,3,35
70095,57,69
85995,70,64
6487,75,41
9063,22,86
4946,11,64
6020,46,43
36663,95,84
41445,91,58
48565,78,65
40546,24,49
64606,72,59
61655,30,57
82942,83,71
58957,100,44
78028,18,51
86688,59,36
23209,6,42
45721,69,35
64138,84,40
84178,20,50
44863,26,82
41924,71,79
22027,93,53
4230,21,74
57034,82,39
41799,6,95
21168,64,56
10337,76,35
82982,26,47
1415,35,72
69930,96,50
89857,28,79
68503,52,67
22147,6,96
74791,44,37
71350,36,87
63974,6,36
20359,87,41
27565,77,66
61564,61,90
32425,83,69
82644,65,47
86137,24,80
71134,34,59
22398,94,62
6286,63,47
28096,28,47
9861,45,43
8407,54,77
27846,20,60
73963,38,52
48516,47,100
47936,80,87
32098,96,91
86445,23,73
50522,74,87
85260,53,88
13126,54,47
29452,64,38
35567,5,71
74596,25,78
58757,63,59
23875,76,50
10500,80,72
9304,64,90
40155,77,41
88758,73,68
60849,74,62
26921,49,45
37300,26,76
69923,14,84
9680,54,61
66994,18,100
76465,47,93
12391,30,78
17018,1,49
41795,42,77
36649,64,63
26049,14,41
80671,16,36
4083,11,69
17604,95,36
71184,57,61
67282,89,61
72927,77,42
11530,36,58
34433,91,87
63234,49,43
62103,48,49
89837,2,100
67296,20,35
61571,8,89
33654,23,78
88786,99,44
87316,14,89
79672,8,60
67606,11,52
80806,8,100
82280,12,47
